Países,Fecha,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita
Sudán del Sur [+],2018,1.638,"42,22%",149€
Santo Tomé y Príncipe [+],2018,267,"74,52%",1.264€
El Salvador [+],2018,14.791,"67,07%",2.227€
Siria [+],2009,12.083,"31,21%",573€
Suazilandia [+],2018,1.428,"35,24%",1.257€
Chad [+],2017,4.441,"49,76%",296€
Togo [+],2018,3.453,"76,15%",438€
Tailandia [+],2018,177.592,"42,08%",2.620€
Tayikistán [+],2017,3.188,"50,39%",359€
Timor Oriental [+],2017,95,"4,28%",76€
Turkmenistán [+],2017,9.679,"28,82%",1.681€
Túnez [+],2016,23.526,"62,28%",2.063€
Turquía [+],2018,196.944,"30,17%",2.402€
Trinidad y Tobago [+],2018,8.568,"45,07%",6.165€
Tuvalu [+],2018,10,"28,15%",883€
Taiwan [+],2018,175.052,"35,06%",7.421€
Tanzania [+],2018,17.945,"37,29%",319€
Ucrania [+],2018,66.685,"60,21%",1.582€
Uganda [+],2018,9.844,"41,37%",230€
Uruguay [+],2018,32.081,"63,54%",9.301€
Uzbekistán [+],2018,8.822,"20,65%",268€
San Vicente y las Granadinas [+],2018,511,"74,48%",4.639€
Venezuela [+],2017,29.418,"23,12%",1.001€
Vietnam [+],2017,113.620,"58,22%",1.201€
Vanuatu [+],2017,406,"52,09%",1.455€
Samoa [+],2018,367,"50,32%",1.873€
Yemen [+],2017,18.331,"84,28%",611€
Sudáfrica [+],2018,176.700,"56,71%",3.050€
Zambia [+],2017,14.168,"61,85%",841€
Zimbabue [+],2017,10.247,"52,87%",720€
