Países,Fecha,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,testA,testB
Corea del Sur [+],2017,541.803,"37,68%",10.536€,2018,57
Kuwait [+],2017,21.893,"20,68%",5.398€,2018,41
Kazajistán [+],2018,30.751,"21,01%",1.672€,2018,31
Laos [+],2017,8.434,"55,80%",1.213€,2018,29
Líbano [+],2017,70.429,"148,96%",10.339€,2018,28
Santa Lucía [+],2018,1.056,"64,33%",5.805€,2018,55
Sri Lanka [+],2018,62.666,"83,28%",2.892€,2018,38
Liberia [+],2018,1.098,"39,91%",228€,2018,32
Lesoto [+],2018,1.022,"44,53%",485€,2018,41
Lituania [+],2018,15.417,"34,20%",5.517€,2018,59
Luxemburgo [+],2018,12.587,"21,40%",20.503€,2018,81
Letonia [+],2018,10.608,"35,90%",5.525€,2018,58
Libia [+],2014,12.162,"36,39%",1.943€,2018,17
Marruecos [+],2018,65.169,"64,96%",1.850€,2018,43
Moldavia [+],2018,2.840,"29,67%",801€,2018,33
Montenegro [+],2018,3.352,"72,57%",5.387€,2018,45
Madagascar [+],2018,4.678,"45,72%",178€,2018,25
Islas Marshall [+],2017,50,"27,23%",869€,,
Macedonia del Norte [+],2018,4.340,"40,47%",2.089€,2018,37
Malí [+],2018,5.420,"37,27%",284€,2018,32
Birmania - Myanmar [+],2018,22.180,"38,16%",413€,2018,29
Mauritania [+],2017,3.310,"75,89%",773€,2018,27
Malta [+],2018,5.665,"46,00%",11.477€,2018,54
Mauricio [+],2018,8.111,"66,25%",6.407€,2018,51
Maldivas [+],2018,3.068,"68,03%",5.949€,2018,31
Malaui [+],2018,3.478,"62,91%",192€,2018,32
México [+],2018,554.636,"53,62%",4.446€,2018,28
Malasia [+],2018,168.649,"55,57%",5.208€,2018,47
Mozambique [+],2018,12.165,"99,84%",412€,2018,23
Namibia [+],2018,5.685,"45,79%",2.355€,2018,53
Níger [+],2017,3.917,"54,37%",181€,2018,34
Nigeria [+],2018,91.873,"27,26%",469€,2018,27
Nicaragua [+],2018,4.131,"37,21%",639€,2018,25
Holanda [+],2018,405.428,"52,40%",23.459€,2018,82
Noruega [+],2018,146.871,"39,97%",27.734€,2018,84
Nepal [+],2018,7.423,"30,20%",264€,2018,31
Nauru [+],2017,58,"59,36%",4.487€,,
Nueva Zelanda [+],2018,51.306,"29,84%",10.407€,2018,87
Omán [+],2018,35.808,"53,37%",8.569€,2018,52
Panamá [+],2018,21.741,"39,49%",5.228€,2018,37
Perú [+],2018,49.880,"26,15%",1.559€,2018,35
Papúa Nueva Guinea [+],2015,5.859,"29,93%",723€,2018,28
Filipinas [+],2018,109.012,"38,92%",1.022€,2018,36
Pakistán [+],2018,190.885,"71,69%",950€,2018,33
Polonia [+],2018,240.470,"48,90%",6.333€,2018,60
Paraguay [+],2018,7.604,"21,47%",1.078€,2018,29
Catar [+],2018,78.756,"48,63%",28.312€,2018,62
Rumanía [+],2018,70.772,"35,00%",3.648€,2018,47
Serbia [+],2018,23.319,"54,55%",3.349€,2018,39
Rusia [+],2018,204.864,"14,61%",1.396€,2018,28
Ruanda [+],2018,3.273,"40,66%",266€,2018,56
Arabia Saudita [+],2018,126.348,"18,98%",3.749€,2018,49
Islas Salomón [+],2017,108,"9,51%",170€,2018,44
Seychelles [+],2018,763,"56,92%",7.881€,2018,66
Sudán [+],2018,61.535,"212,08%",1.472€,2018,16
Suecia [+],2018,181.290,"38,80%",17.721€,2018,85
Singapur [+],2018,352.412,"113,63%",62.495€,2018,85
Eslovenia [+],2018,32.232,"70,10%",15.489€,2018,60
Eslovaquia [+],2018,44.145,"48,90%",8.099€,2018,50
Sierra Leona [+],2018,2.176,"62,99%",285€,2018,30
San Marino [+],2017,1.037,"76,64%",31.134€,,
Senegal [+],2018,12.242,"61,55%",772€,2018,45
Surinam [+],2017,2.121,"78,05%",3.718€,2018,43
Sudán del Sur [+],2018,1.638,"42,22%",149€,2018,13
Santo Tomé y Príncipe [+],2018,267,"74,52%",1.264€,2018,46
El Salvador [+],2018,14.791,"67,07%",2.227€,2018,35
Siria [+],2009,12.083,"31,21%",573€,2018,13
Suazilandia [+],2018,1.428,"35,24%",1.257€,2018,38
Chad [+],2017,4.441,"49,76%",296€,2018,19
Togo [+],2018,3.453,"76,15%",438€,2018,30
Tailandia [+],2018,177.592,"42,08%",2.620€,2018,36
Tayikistán [+],2017,3.188,"50,39%",359€,2018,25
Timor Oriental [+],2017,95,"4,28%",76€,2018,35
Turkmenistán [+],2017,9.679,"28,82%",1.681€,2018,20
Túnez [+],2016,23.526,"62,28%",2.063€,2018,43
Turquía [+],2018,196.944,"30,17%",2.402€,2018,41
Trinidad y Tobago [+],2018,8.568,"45,07%",6.165€,2018,41
Tuvalu [+],2018,10,"28,15%",883€,,
Taiwan [+],2018,175.052,"35,06%",7.421€,2018,63
Tanzania [+],2018,17.945,"37,29%",319€,2018,36
Ucrania [+],2018,66.685,"60,21%",1.582€,2018,32
Uganda [+],2018,9.844,"41,37%",230€,2018,26
Uruguay [+],2018,32.081,"63,54%",9.301€,2018,70
Uzbekistán [+],2018,8.822,"20,65%",268€,2018,23
San Vicente y las Granadinas [+],2018,511,"74,48%",4.639€,2018,58
Venezuela [+],2017,29.418,"23,12%",1.001€,2018,18
Vietnam [+],2017,113.620,"58,22%",1.201€,2018,33
Vanuatu [+],2017,406,"52,09%",1.455€,2018,46
Samoa [+],2018,367,"50,32%",1.873€,2014,52
Yemen [+],2017,18.331,"84,28%",611€,2018,14
Sudáfrica [+],2018,176.700,"56,71%",3.050€,2018,43
Zambia [+],2017,14.168,"61,85%",841€,2018,35
Zimbabue [+],2017,10.247,"52,87%",720€,2018,22
