Países,Fecha,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB,testA,testB
Albania [+],2018,8.911,"69,92%",3.113€,2018,36,2018,"60,1",,,I Trim 2017,193 m.,2019,"210,7 €",,,2018,2.862.427,2017,52.484,2017,1.148.144,2016,79,2017,"78,50",2017,"1,72"
Armenia [+],2018,5.401,"51,33%",1.821€,2018,35,2018,"69,5",,,IV Trim 2017,219 m.,2014,"118,2 €",,,2018,2.965.269,2017,190.719,2017,951.023,2016,87,2017,"75,80",2017,"1,65"
Angola [+],2018,79.775,"89,00%",2.589€,2018,19,2018,"89,4",,,,,,,,,2018,30.809.762,2017,638.499,2017,632.699,2015,2.414,2017,"61,81",2017,"1,04"
Argentina [+],2018,378.385,"86,06%",8.492€,2018,40,2018,"46,1",Septiembre 2016,"8,5%",III Trim 2018,1.167 m.,2019,"244,6 €",,,2018,44.560.000,2017,2.164.524,2017,977.209,2016,2.605,2017,"76,74",2017,"4,74"
Austria [+],2018,284.758,"73,80%",32.144€,2018,76,2018,"26,2",Septiembre 2019,"4,5%",II Trim 2019,202 m.,,,2018,47.120€,2018,8.858.775,2017,1.660.283,2017,586.161,2016,57,2017,"81,70",2017,"8,27"
Australia [+],2018,497.213,"41,37%",19.755€,2018,77,2018,"20,8",Septiembre 2019,"5,2%",I Trim 2019,729 m.,2018,"1.996,6 €",2018,54.300€,2018,25.169.000,2017,7.035.560,2017,541.616,2016,227,2017,"82,50",2017,"16,45"
Azerbaiyán [+],2018,7.451,"18,75%",750€,2018,25,2018,"74,6",,,IV Trim 2016,253 m.,2018,"64,0 €",,,2018,9.940.000,2017,259.241,2017,1.155.381,2016,208,2017,"75,60",2017,"3,31"
Bosnia y Herzegovina [+],2018,5.845,"34,25%",1.668€,2018,38,2018,"71,3",,,I Trim 2016,535 m.,,,,,2018,3.504.000,2017,37.100,2017,1.659.852,2016,45,2017,"77,09",2017,"7,30"
Barbados [+],2018,5.440,"125,71%",19.020€,2018,68,2018,"48,2",,,II Trim 2015,17 m.,,,,,2018,286.000,2017,34.660,2017,98.467,2015,31,2017,"76,06",2017,"11,10"
Bangladés [+],2018,77.497,"33,99%",480€,2018,26,2018,"90,3",,,II Trim 2017,2.823 m.,2018,"82,1 €",,,2018,161.356.039,2017,1.500.921,2017,7.499.919,2015,4.035,2017,"72,81",2017,"0,51"
Bélgica [+],2018,459.651,"102,00%",40.081€,2018,75,2018,"29,7",Septiembre 2019,"5,6%",II Trim 2019,272 m.,2019,"1.593,8 €",2018,48.455€,2018,11.467.923,2017,1.268.411,2017,562.626,2015,220,2017,"81,60",2017,"9,12"
Burkina Faso [+],2018,5.131,"42,88%",260€,2018,41,2018,"86,5",,,,,,,,,2018,19.752.000,2017,708.921,2017,1.472.712,2015,67,2017,"60,77",2017,"0,18"
Bulgaria [+],2018,12.491,"22,60%",1.784€,2018,42,2018,"51,7",Septiembre 2019,"4,1%",II Trim 2019,142 m.,2019,"286,3 €",2018,7.105€,2018,7.000.039,2017,153.803,2017,1.291.630,2016,81,2017,"74,80",2017,"7,00"
Baréin [+],2018,30.269,"94,75%",19.286€,2018,36,2018,"64,4",,,,,2011,"600,8 €",,,2018,1.569.439,2017,722.649,2017,57.749,2014,7,2017,"77,04",2017,"23,97"
Burundi [+],2015,1.226,"45,26%",121€,2018,17,2018,"97,4",,,,,,,,,2018,11.175.378,2017,299.569,2017,435.630,2016,635,2017,"57,86",2017,"0,03"
Benín [+],2018,4.957,"41,05%",432€,2018,40,2018,"75,7",,,,,,,,,2018,11.485.048,2017,253.284,2017,627.997,2015,654,2017,"61,17",2017,"0,64"
Brunéi [+],2018,297,"2,59%",672€,2018,63,2018,"59,8",,,IV Trim 2015,10 m.,,,,,2018,442.000,2017,108.612,2017,45.458,2013,2,2017,"77,37",2017,"15,65"
Bolivia [+],2017,17.150,"51,26%",1.532€,2018,29,2018,"75,2",,,IV Trim 2017,173 m.,2017,"278,3 €",,,2018,11.353.142,2017,148.837,2017,820.722,2016,686,2017,"69,47",2017,"1,85"
Brasil [+],2018,1.389.520,"87,89%",6.634€,2018,35,2018,"68,7",Agosto 2019,"11,8%",IV Trim 2018,12.193 m.,2018,"240,1 €",,,2018,209.469.333,2017,735.557,2017,1.612.860,2016,61.283,2017,"75,72",2017,"2,35"
Bahamas [+],2018,6.579,"63,26%",17.451€,2018,65,2018,"50,0",,,,,2018,"175,1 €",,,2018,377.000,2017,61.806,2017,41.684,2016,111,2017,"75,82",2017,"7,58"
Bután [+],2018,2.237,"102,38%",2.966€,2018,68,2018,"74,3",,,,,,,,,2018,754.394,2017,52.296,2017,43.970,2016,9,2017,"70,57",2017,"1,80"
Botsuana [+],2018,1.935,"12,12%",858€,2018,61,2018,"62,0",,,,,2013,"76,0 €",,,2018,2.254.126,2017,166.430,2017,80.103,2012,368,2017,"67,62",2017,"3,45"
Bielorrusia [+],2018,24.146,"47,83%",2.548€,2018,44,2018,"70,5",,,IV Trim 2015,43 m.,2018,"129,5 €",,,2018,9.475.174,2017,1.078.652,2017,1.484.875,2014,340,2017,"74,50",2017,"6,58"
Belice [+],2018,1.551,"95,22%",4.050€,2008,20,2018,"63,7",,,III Trim 2017,12 m.,2012,"248,8 €",,,2018,383.071,2017,59.998,2017,63.233,2016,138,2017,"70,59",2017,"1,17"
Canadá [+],2018,1.303.612,"89,94%",35.238€,2018,81,2018,"21,5",Octubre 2019,"5,5%",I Trim 2019,1.220 m.,2018,"1.482,2 €",2018,34.883€,2018,36.994.000,2017,7.861.226,2017,1.359.585,2016,611,2017,"82,47",2017,"16,85"
República Democrática del Congo [+],2018,6.098,"15,30%",73€,2018,20,2018,"110,7",,,,,,,,,2018,84.068.091,2017,879.223,2017,1.661.988,2015,10.322,2017,"60,03",2017,"0,04"
República Centroafricana [+],2018,964,"49,94%",207€,2018,26,2018,"111,1",,,,,,,,,2018,4.666.377,2017,88.774,2017,724.669,2016,913,2017,"52,89",2017,"0,10"
República del Congo [+],2018,8.672,"87,85%",1.654€,2018,19,2018,"93,1",,,,,,,,,2018,5.244.363,2017,398.890,2017,254.824,2015,466,2017,"65,09",2017,"1,05"
Suiza [+],2017,256.771,"42,64%",30.265€,2018,85,2018,"19,2",,,II Trim 2019,205 m.,,,2018,78.708€,2018,8.542.323,2017,2.506.394,2017,676.687,2016,45,2017,"83,70",2017,"4,69"
Costa de Marfil [+],2018,19.387,"53,21%",773€,2018,35,2018,"94,6",,,,,,,,,2018,25.069.229,2017,2.197.152,2017,832.581,2015,2.688,2017,"54,10",2017,"0,51"
Chile [+],2018,64.507,"25,56%",3.444€,2018,67,2018,"40,7",Octubre 2018,"6,8%",I Trim 2019,659 m.,2018,"382,2 €",2018,12.755€,2018,18.729.160,2017,488.571,2017,631.832,2016,620,2017,"79,73",2017,"5,00"
Camerún [+],2017,11.640,"37,56%",474€,2018,25,2018,"95,3",,,,,,,,,2018,25.216.237,2017,540.266,2017,333.316,2015,1.385,2017,"58,58",2017,"0,41"
Colombia [+],2018,146.114,"52,16%",2.932€,2018,36,2018,"76,6",Enero 2018,"11,8%",IV Trim 2018,2.127 m.,2018,"220,3 €",,,2018,49.834.000,2017,142.319,2017,2.736.230,2016,12.402,2017,"74,56",2017,"1,53"
Costa Rica [+],2018,27.404,"53,55%",5.457€,2018,56,2018,"43,2",,,I Trim 2019,266 m.,2018,"383,9 €",,,2018,5.022.000,2017,414.214,2017,143.465,2016,578,2017,"80,03",2017,"1,66"
Cabo Verde [+],2018,2.085,"124,50%",3.835€,2018,57,2018,"68,0",,,,,,,,,2018,543.767,2017,15.295,2017,226.786,2016,62,2017,"73,00",2017,"1,75"
Chipre [+],2018,21.258,"102,50%",24.270€,2018,59,2018,"60,3",Septiembre 2019,"6,6%",II Trim 2019,29 m.,2018,"870,0 €",2018,23.052€,2018,875.898,2017,188.973,2017,163.734,2016,13,2017,"82,20",2017,"5,96"
República Checa [+],2018,67.450,"32,70%",6.333€,2018,59,2018,"39,0",Septiembre 2019,"2,1%",II Trim 2019,102 m.,2019,"519,0 €",2018,14.945€,2018,10.649.800,2017,433.290,2017,962.153,2016,65,2017,"79,10",2017,"10,34"
Yibuti [+],2018,1.187,"47,97%",1.131€,2018,31,2018,"87,1",,,,,,,,,2018,1.049.000,2017,116.089,2017,15.823,2015,60,2017,"62,64",2017,"1,06"
Dinamarca [+],2018,101.434,"34,10%",17.470€,2018,88,2018,"19,8",Septiembre 2019,"5,3%",II Trim 2019,142 m.,,,2018,56.559€,2018,5.806.081,2017,656.789,2017,262.255,2016,56,2017,"81,10",2017,"5,86"
Dominica [+],2018,353,"74,09%",4.929€,2018,57,,,,,,,,,,,2018,71.625,2017,6.782,2017,71.483,2011,6,2002,"76,60",2017,"1,65"
República Dominicana [+],2018,36.568,"50,46%",3.562€,2018,30,2018,"69,2",,,I Trim 2018,260 m.,2013,"129,6 €",,,2018,10.266.000,2017,424.964,2017,1.443.030,2016,1.616,2017,"74,05",2017,"2,15"
Argelia [+],2018,56.379,"38,34%",1.335€,2018,35,2018,"75,8",,,III Trim 2016,1.272 m.,2013,"173,4 €",,,2018,42.228.429,2017,248.624,2017,1.792.712,2015,542,2017,"76,29",2017,"3,87"
Ecuador [+],2018,42.005,"45,78%",2.468€,2018,34,2018,"74,2",,,I Trim 2019,320 m.,2013,"241,0 €",,,2018,17.023.000,2017,399.068,2017,1.131.427,2016,959,2017,"76,55",2017,"2,38"
Estonia [+],2018,2.152,"8,40%",1.624€,2018,73,2018,"43,0",Agosto 2019,"3,9%",II Trim 2019,36 m.,2019,"540,0 €",2018,16.103€,2018,1.324.820,2017,192.962,2017,199.422,2015,42,2017,"78,40",2017,"13,66"
Egipto [+],2018,195.704,"92,65%",2.018€,2018,35,2018,"88,7",,,IV Trim 2017,3.597 m.,2013,"83,6 €",,,2018,96.980.000,2017,478.310,2017,3.412.957,2012,2.207,2017,"71,66",2017,"2,65"
Eritrea [+],2018,2.961,"174,31%",584€,2018,24,2018,"97,2",,,,,,,,,2017,5.068.831,2017,16.041,2017,607.917,2015,390,2017,"65,54",2017,"0,15"
Etiopía [+],2018,41.483,"61,04%",380€,2018,34,2018,"99,6",,,,,,,,,2018,109.224.559,2017,1.227.143,2017,800.879,2015,7.552,2017,"65,87",2017,"0,14"
Finlandia [+],2018,137.545,"58,90%",24.927€,2018,85,2018,"17,9",Septiembre 2019,"6,7%",II Trim 2019,215 m.,,,2018,43.984€,2018,5.517.919,2017,343.582,2017,294.631,2016,78,2017,"81,70",2017,"8,48"
Fiyi [+],2018,2.158,"46,16%",2.442€,2005,40,2018,"74,5",,,,,,,,,2018,883.483,2017,13.911,2017,215.120,2014,20,2017,"70,42",2017,"1,59"
Estados Federados de Micronesia [+],2018,63,"20,28%",622€,,,2018,"74,4",,,,,,,,,2018,102.000,2017,2.785,2017,20.754,2015,5,2017,"69,32",,
Gabón [+],2018,8.664,"60,66%",4.088€,2018,31,2018,"72,5",,,,,,,,,2018,2.119.275,2017,280.197,2017,66.898,2015,155,2017,"66,48",2017,"3,24"
Granada [+],2018,637,"63,49%",5.713€,2018,52,2018,"59,9",,,,,,,,,2018,111.454,2017,7.124,2017,67.183,2016,11,2017,"73,78",2017,"2,59"
Georgia [+],2017,6.021,"45,09%",1.614€,2018,58,2018,"74,0",,,IV Trim 2017,66 m.,2018,"6,4 €",,,2018,3.723.464,2017,78.218,2017,838.082,2016,39,2017,"73,50",2017,"2,95"
Ghana [+],2018,32.880,"59,29%",1.105€,2018,41,2018,"68,1",,,,,2013,"56,9 €",,,2018,29.767.108,2017,417.642,2017,857.603,2012,1.537,2017,"63,03",2017,"0,65"
Gambia [+],2018,1.191,"86,57%",522€,2018,37,2018,"87,1",,,,,,,,,2018,2.280.102,2017,205.063,2017,87.532,2015,181,2017,"61,42",2017,"0,26"
Guinea [+],2018,3.913,"38,21%",315€,2018,28,2018,"101,6",,,,,,,,,2018,12.414.318,2017,122.796,2017,426.010,2015,1.067,2017,"60,62",2017,"0,21"
Guinea Ecuatorial [+],2017,4.136,"38,02%",3.278€,2018,16,2018,"83,4",,,,,,,,,2018,1.308.974,2017,221.865,2017,95.714,2015,27,2017,"57,94",2017,"1,95"
Grecia [+],2018,334.573,"181,10%",31.204€,2018,45,2018,"55,3",Agosto 2019,"16,7%",II Trim 2019,805 m.,2019,"758,3 €",2018,21.214€,2018,10.722.287,2017,1.220.395,2017,933.115,2016,84,2017,"81,40",2017,"6,46"
Guatemala [+],2018,16.394,"24,69%",950€,2018,27,2018,"81,8",,,II Trim 2018,184 m.,2013,"229,4 €",,,2018,17.263.000,2017,81.528,2017,1.117.355,2016,4.520,2017,"73,65",2017,"1,05"
Guinea-Bisáu [+],2018,778,"64,34%",415€,2018,16,2018,"98,1",,,,,,,,,2018,1.874.309,2017,23.405,2017,97.890,2015,169,2017,"57,81",2017,"0,22"
Guyana [+],2018,1.747,"52,94%",2.243€,2018,37,2018,"70,4",,,IV Trim 2017,36 m.,,,,,2018,779.004,2017,15.530,2017,488.324,2016,142,2017,"66,77",2017,"2,28"
Hong Kong [+],2018,162,"0,05%",22€,2018,76,,,,,I Trim 2017,125 m.,2013,"622,9 €",,,2018,7.486.000,2017,2.883.051,2017,1.066.633,2016,28,2017,"84,68",2017,"6,07"
Honduras [+],2018,8.091,"40,16%",844€,2018,29,2018,"77,3",,,II Trim 2011,144 m.,2013,"248,1 €",,,2018,9.587.522,2017,38.700,2017,722.430,2016,5.150,2017,"73,77",2017,"1,14"
Croacia [+],2018,38.407,"74,60%",9.422€,2018,48,2018,"48,7",Septiembre 2019,"6,8%",II Trim 2019,108 m.,2019,"505,9 €",2018,12.776€,2018,4.076.246,2017,560.483,2017,916.824,2016,44,2017,"78,00",2017,"4,17"
Haiti [+],2018,2.719,"33,26%",244€,2018,20,2018,"102,0",,,,,,,,,2018,11.123.176,2017,40.533,2017,1.281.394,2012,1.033,2017,"63,59",2017,"0,32"
Hungría [+],2018,92.861,"70,80%",9.502€,2018,46,2018,"50,2",Agosto 2019,"3,4%",II Trim 2019,156 m.,2019,"464,2 €",2018,12.978€,2018,9.772.756,2017,503.787,2017,636.782,2016,202,2017,"76,00",2017,"5,23"
Indonesia [+],2018,260.433,"30,09%",986€,2018,38,2018,"72,3",,,I Trim 2018,5.847 m.,2013,"104,8 €",,,2018,264.162.000,2017,345.930,2017,4.233.973,2016,1.292,2017,"69,36",2017,"1,94"
Irlanda [+],2018,206.214,"64,80%",42.048€,2018,73,2018,"20,7",Octubre 2019,"4,8%",II Trim 2019,131 m.,2019,"1.656,2 €",2018,46.774€,2018,4.904.226,2017,806.549,2017,802.084,2016,38,2017,"82,20",2017,"8,17"
Israel [+],2017,188.958,"60,41%",21.694€,2018,61,2018,"78,5",,,I Trim 2017,166 m.,2018,"1.273,0 €",2018,36.117€,2018,8.881.000,2017,1.962.123,2017,350.484,2015,110,2017,"82,60",2017,"8,04"
India [+],2018,1.565.963,"68,05%",1.158€,2018,41,2018,"76,3",,,,,2013,"41,2 €",,,2018,1.352.617.328,2017,5.188.550,2017,16.587.720,2016,42.678,2017,"68,80",2017,"1,83"
Irak [+],2017,101.983,"58,92%",2.716€,2018,18,2018,"102,2",,,,,,,,,2018,38.433.600,2017,366.568,2017,1.679.040,2013,3.339,2017,"70,04",2017,"5,21"
Irán [+],2018,121.491,"32,18%",1.475€,2018,28,2018,"84,3",,,I Trim 2017,3.199 m.,2011,"240,2 €",,,2018,82.360.000,2017,2.699.155,2017,1.170.491,2015,3.259,2017,"76,15",2017,"8,27"
Islandia [+],2018,8.267,"37,62%",23.158€,2018,76,2018,"20,3",Septiembre 2019,"3,4%",II Trim 2019,9 m.,,,2018,71.565€,2018,356.991,2017,41.853,2017,41.352,2016,1,2017,"82,60",2017,"12,23"
Jamaica [+],2018,12.662,"94,36%",4.315€,2018,44,2018,"63,1",,,I Trim 2019,108 m.,,,,,2018,2.934.855,2017,23.332,2017,1.112.151,2016,1.354,2017,"76,10",2017,"2,61"
Jordania [+],2018,33.794,"94,41%",3.394€,2018,49,2018,"76,8",,,,,,,,,2018,9.956.011,2017,3.233.553,2017,744.582,2016,145,2017,"74,48",2017,"2,53"
Kenia [+],2018,44.762,"60,15%",871€,2018,27,2018,"97,4",,,,,2012,"122,4 €",,,2018,51.393.010,2017,1.078.572,2017,501.204,2016,2.363,2017,"67,29",2017,"0,37"
Kirguistán [+],2018,3.838,"56,03%",613€,2018,29,2018,"78,6",,,IV Trim 2009,194 m.,,,,,2018,6.257.000,2017,200.294,2017,760.134,2016,267,2017,"71,20",2017,"1,85"
Camboya [+],2018,5.925,"28,64%",365€,2018,20,2018,"84,0",,,,,,,,,2018,16.249.798,2017,76.329,2017,1.064.840,2012,964,2017,"69,33",2017,"0,66"
Kiribati [+],2017,35,"21,62%",313€,2011,31,,,,,,,,,,,2018,115.847,2017,3.022,2017,4.903,2012,8,2017,"66,51",2017,"0,26"
Comoras [+],2018,210,"20,97%",253€,2018,27,2018,"82,6",,,,,,,,,2018,832.322,2017,12.555,2017,116.574,2015,60,2017,"63,91",2017,"0,25"
San Cristóbal y Nieves [+],2018,502,"60,50%",9.570€,,,,,,,,,,,,,2018,52.441,2017,7.587,2017,38.264,2012,18,2002,"71,34",2017,"4,30"
Corea del Sur [+],2017,541.803,"37,68%",10.536€,2018,57,2018,"35,7",,,IV Trim 2017,895 m.,2018,"1.229,9 €",2018,37.078€,2018,51.635.000,2017,1.151.865,2017,2.477.575,2016,356,2017,"82,63",2017,"13,21"
Kuwait [+],2017,21.893,"20,68%",5.398€,2018,41,2018,"55,9",,,,,2011,"161,0 €",,,2018,4.137.309,2017,3.123.431,2017,207.920,2012,61,2017,"74,81",2017,"23,49"
Kazajistán [+],2018,30.751,"21,01%",1.672€,2018,31,2018,"63,4",,,I Trim 2017,439 m.,2013,"94,2 €",,,2018,18.396.000,2017,3.635.168,2017,4.074.446,2015,853,2017,"72,95",2017,"14,62"
Laos [+],2017,8.434,"55,80%",1.213€,2018,29,2018,"80,7",,,,,,,,,2018,7.062.000,2017,45.466,2017,1.313.365,2015,467,2017,"67,02",2017,"0,41"
Líbano [+],2017,70.429,"148,96%",10.339€,2018,28,2018,"86,8",,,,,2011,"249,3 €",,,2018,6.848.925,2017,1.939.212,2017,822.300,2016,235,2017,"79,76",2017,"3,80"
Santa Lucía [+],2018,1.056,"64,33%",5.805€,2018,55,,,,,I Trim 2016,24 m.,,,,,2018,181.889,2017,12.889,2017,54.839,2014,34,2017,"75,70",2017,"2,03"
Sri Lanka [+],2018,62.666,"83,28%",2.892€,2018,38,2018,"84,9",,,IV Trim 2016,338 m.,2009,"37,4 €",,,2018,21.670.000,2017,40.018,2017,1.726.900,2016,530,2017,"75,49",2017,"1,15"
Liberia [+],2018,1.098,"39,91%",228€,2018,32,2018,"92,6",,,,,,,,,2018,4.818.977,2017,98.630,2017,260.155,2012,135,2017,"63,01",2017,"0,24"
Lesoto [+],2018,1.022,"44,53%",485€,2018,41,2018,"80,1",,,,,,,,,2018,2.108.132,2017,6.749,2017,326.612,2015,897,2017,"54,57",2017,"0,34"
Lituania [+],2018,15.417,"34,20%",5.517€,2018,59,2018,"39,4",Septiembre 2019,"6,5%",II Trim 2019,90 m.,2019,"555,0 €",2018,11.121€,2018,2.794.184,2017,124.706,2017,596.856,2016,153,2017,"75,80",2017,"5,30"
Luxemburgo [+],2018,12.587,"21,40%",20.503€,2018,81,2018,"20,8",Septiembre 2019,"5,4%",II Trim 2019,16 m.,2019,"2.071,1 €",2018,59.497€,2018,613.894,2017,264.073,2017,62.054,2014,4,2017,"82,10",2017,"16,35"
Letonia [+],2018,10.608,"35,90%",5.525€,2018,58,2018,"44,9",Septiembre 2019,"6,3%",II Trim 2019,62 m.,2019,"430,0 €",2018,11.881€,2018,1.919.968,2017,256.889,2017,374.002,2015,67,2017,"74,90",2017,"4,13"
Libia [+],2014,12.162,"36,39%",1.943€,2018,17,2018,"94,6",,,,,,,,,2018,6.678.567,2017,788.419,2017,158.795,2015,156,2017,"72,11",2017,"9,03"
Marruecos [+],2018,65.169,"64,96%",1.850€,2018,43,2018,"74,0",,,III Trim 2016,1.142 m.,2013,"209,4 €",,,2018,35.220.000,2017,95.835,2017,2.898.721,2015,431,2017,"76,06",2017,"1,72"
Moldavia [+],2018,2.840,"29,67%",801€,2018,33,2018,"69,5",,,IV Trim 2018,34 m.,2018,"49,0 €",,,2018,3.544.000,2017,140.045,2017,973.618,2014,130,2017,"71,72",2017,"2,04"
Montenegro [+],2018,3.352,"72,57%",5.387€,2018,45,2018,"55,3",,,II Trim 2019,42 m.,2019,"331,3 €",,,2018,622.182,2017,70.984,2017,137.589,2016,28,2017,"76,60",,
Madagascar [+],2018,4.678,"45,72%",178€,2018,25,2018,"83,6",,,,,,,,,2018,26.262.368,2017,33.844,2017,172.130,2015,1.863,2017,"66,31",2017,"0,16"
Islas Marshall [+],2017,50,"27,23%",869€,,,,,,,,,,,,,2018,58.413,2017,3.292,2017,7.504,2012,2,2000,"65,24",,
Macedonia del Norte [+],2018,4.340,"40,47%",2.089€,2018,37,2018,"64,8",,,II Trim 2019,168 m.,2018,"282,5 €",,,2018,2.077.132,2017,130.972,2017,534.720,2014,33,2017,"76,00",2017,"3,86"
Malí [+],2018,5.420,"37,27%",284€,2018,32,2018,"93,6",,,,,,,,,2018,19.077.690,2017,383.721,2017,1.066.120,2015,1.905,2017,"58,46",2017,"0,05"
Birmania - Myanmar [+],2018,22.180,"38,16%",413€,2018,29,2018,"96,1",,,III Trim 2017,223 m.,,,,,2018,53.708.395,2017,74.660,2017,2.894.741,2016,1.198,2017,"66,74",2017,"0,53"
Mauritania [+],2017,3.310,"75,89%",773€,2018,27,2018,"92,2",,,,,2011,"81,0 €",,,2018,4.403.319,2017,168.438,2017,120.433,2015,416,2017,"63,38",2017,"0,67"
Malta [+],2018,5.665,"46,00%",11.477€,2018,54,2018,"36,2",Septiembre 2019,"3,4%",II Trim 2019,9 m.,2019,"762,0 €",2018,23.331€,2018,493.559,2017,45.539,2017,105.006,2015,4,2017,"82,40",2017,"4,36"
Mauricio [+],2018,8.111,"66,25%",6.407€,2018,51,2018,"40,5",,,IV Trim 2017,37 m.,2013,"111,6 €",,,2018,1.266.000,2017,28.713,2017,167.121,2016,23,2017,"74,51",2017,"3,16"
Maldivas [+],2018,3.068,"68,03%",5.949€,2018,31,2018,"72,4",,,,,2010,"169,1 €",,,2018,515.696,2017,67.026,2017,2.883,2013,3,2017,"77,65",2017,"2,21"
Malaui [+],2018,3.478,"62,91%",192€,2018,32,2018,"85,5",,,,,,,,,2018,18.143.315,2017,237.104,2017,342.826,2012,279,2017,"63,67",2017,"0,08"
México [+],2018,554.636,"53,62%",4.446€,2018,28,2018,"71,5",Septiembre 2019,"3,8%",I Trim 2019,1.886.205 m.,2018,"113,6 €",2018,5.382€,2018,124.738.000,2017,1.224.169,2017,12.964.882,2016,24.559,2017,"77,31",2017,"3,93"
Malasia [+],2018,168.649,"55,57%",5.208€,2018,47,2018,"63,6",,,I Trim 2017,513 m.,2018,"226,6 €",,,2018,32.385.000,2017,2.703.629,2017,1.855.615,2013,627,2017,"75,45",2017,"8,18"
Mozambique [+],2018,12.165,"99,84%",412€,2018,23,2018,"88,7",,,,,,,,,2018,29.495.962,2017,246.954,2017,653.251,2011,849,2017,"58,87",2017,"0,26"
Namibia [+],2018,5.685,"45,79%",2.355€,2018,53,2018,"68,8",,,,,,,,,2018,2.414.000,2017,95.067,2017,190.132,2012,388,2017,"64,85",2017,"1,70"
Níger [+],2017,3.917,"54,37%",181€,2018,34,2018,"96,2",,,,,,,,,2018,22.442.948,2017,295.610,2017,362.955,2012,788,2017,"60,42",2017,"0,12"
Nigeria [+],2018,91.873,"27,26%",469€,2018,27,2018,"99,9",,,IV Trim 2016,5.821 m.,2013,"87,9 €",,,2018,195.874.740,2017,1.235.088,2017,1.255.425,2015,17.843,2017,"53,88",2017,"0,50"
Nicaragua [+],2018,4.131,"37,21%",639€,2018,25,2018,"75,3",,,IV Trim 2012,140 m.,2013,"109,9 €",,,2018,6.465.513,2017,41.159,2017,658.203,2016,453,2017,"75,65",2017,"0,95"
Holanda [+],2018,405.428,"52,40%",23.459€,2018,82,2018,"26,2",Septiembre 2019,"3,5%",II Trim 2019,305 m.,2019,"1.635,6 €",2018,51.567€,2018,17.282.163,2017,2.056.520,2017,1.015.302,2016,94,2017,"81,80",2017,"10,26"
